sample_nr,shape_log_rho,loc_log_rho,scale_log_rho
JT-26-1,0.0066232851242119,0.0,2.6816268560222607
JT-26-2,0.006059798046057221,0.0,2.6903210963105906
JT-26-3,0.00625488276243597,0.0,2.674629751161957
