#E (m, CH1903);642070.33
#N (m, CH1903);155413.52
#Z (m, CH1903);3381.26
#azimuth (deg);204.6
#inclination angle (deg);45.1
#effective area (cm2);25.2
#exposure time (sec);4.12E+06
slope x;slope y
0.6210117;-0.009025
-0.097999;0.3078904
-0.819985;-0.101263
-0.867663;-0.117129
-0.870792;0.5070946
-1.02339;-0.430834
-0.442313;0.0787736
-0.654762;-0.619103
-0.86703;-0.535818
-1.120537;0.1071706
-0.437416;0.2424644
0.6330581;0.2804469
-0.474228;-0.412852
0.3876709;0.2096454
-0.501256;0.0246529
0.3928792;0.8995585
-0.081995;0.0103971
-0.922795;-0.429907
0.2091637;0.663892
-0.712343;0.1372156
-0.527931;-0.543792
-0.291111;0.0630955
-0.579002;-0.522026
-0.188099;0.9572584
0.2179363;0.3461666
0.4119411;-0.198439
-0.868014;0.7890076
-1.119653;0.0611197
0.3850755;0.1166147
-0.521411;-0.253546
-0.959803;0.067298
-0.557978;-0.09594
-0.980068;0.2816587
-0.154065;-0.009324
1.2529951;-0.23441
0.3674282;-0.205423
-0.08462;0.0352602
-0.278488;-0.484105
-0.493239;0.760146
-0.498233;-0.604104
-0.369773;-0.08313
0.5922808;0.0473426
-0.558822;-0.05321
-0.171594;-0.304264
-0.47253;-0.198815
-0.480322;0.0612805
-0.698807;-0.028861
-0.189162;-0.084262
-0.362741;0.2690226
-0.570112;-0.5606
-1.132464;-0.104977
0.2032959;-0.716457
0.1807994;-0.279563
-0.51825;-0.081376
0.5197803;0.6828904
-0.688312;0.3920415
-1.125657;-0.723397
-0.148869;0.0942666
-1.07703;-0.298356
-0.079153;-0.274176
-0.123475;-0.328188
-1.079844;-0.470638
-1.272923;0.2542593
-1.057219;0.6238732
-0.534001;0.4379365
-0.215827;-0.006954
-0.718571;-0.061366
-0.099866;0.2772722
0.6054034;-0.034313
0.367759;-0.423488
-0.448597;0.3206414
-0.741893;0.503794
-0.54325;0.6164929
0.069173;-0.325943
-0.453974;-0.324182
0.0850677;-0.34523
-1.053596;-0.037321
-0.750942;-0.017256
-0.521107;0.4895629
0.053459;-0.682253
-0.671097;0.2175096
-0.164414;0.2920576
-1.213912;-0.138011
-0.340381;0.1982085
-0.340416;0.4924019
-0.039369;0.6419438
-0.974894;0.3398577
-0.611904;0.3441471
-0.546739;0.4469037
-0.663104;0.2324752
-0.179574;0.5745973
-0.236147;0.5733725
-0.618698;0.2533537
-0.321028;0.281659
1.1832269;-0.007106
-0.038339;-0.757804
-0.776023;-0.041551
-0.408922;0.5056675
-0.138146;-0.151105
-0.051651;0.2069618
-0.396773;0.5705646
0.047747;0.3302961
-0.533486;0.0031189
-0.044293;0.0849025
1.0400781;-0.102001
0.0672369;-0.421614
0.5871778;0.5662308
-0.156634;0.2261763
-0.838427;-0.01848
-0.06345;-0.249739
-0.431452;-0.291089
-0.1867;0.4282169
-0.473168;0.3538409
-0.123161;0.7858158
-0.322098;-0.647877
-1.154234;-0.329829
-0.405658;0.1642939
-0.922445;-0.23294
-0.464669;0.3228359
0.1333633;0.3593936
-0.604523;-0.003029
-0.661894;-0.213047
-1.142917;0.4182462
